# t(seg)	 CIC (A)	 Reactivity($)
-9.94	1.0	0.0
-9.879999999999999	1.0	0.0
-9.819999999999999	1.0	0.0
-9.759999999999998	1.0	0.0
-9.699999999999998	1.0	0.0
-9.639999999999997	1.0	0.0
-9.579999999999997	1.0	0.0
-9.519999999999996	1.0	0.0
-9.459999999999996	1.0	0.0
-9.399999999999995	1.0	0.0
-9.339999999999995	1.0	0.0
-9.279999999999994	1.0	0.0
-9.219999999999994	1.0	0.0
-9.159999999999993	1.0	0.0
-9.099999999999993	1.0	0.0
-9.039999999999992	1.0	0.0
-8.979999999999992	1.0	0.0
-8.919999999999991	1.0	0.0
-8.85999999999999	1.0	0.0
-8.79999999999999	1.0	0.0
-8.73999999999999	1.0	0.0
-8.679999999999989	1.0	0.0
-8.619999999999989	1.0	0.0
-8.559999999999988	1.0	0.0
-8.499999999999988	1.0	0.0
-8.439999999999987	1.0	0.0
-8.379999999999987	1.0	0.0
-8.319999999999986	1.0	0.0
-8.259999999999986	1.0	0.0
-8.199999999999985	1.0	0.0
-8.139999999999985	1.0	0.0
-8.079999999999984	1.0	0.0
-8.019999999999984	1.0	0.0
-7.959999999999984	1.0	0.0
-7.899999999999984	1.0	0.0
-7.839999999999985	1.0	0.0
-7.779999999999985	1.0	0.0
-7.7199999999999855	1.0	0.0
-7.659999999999986	1.0	0.0
-7.599999999999986	1.0	0.0
-7.539999999999987	1.0	0.0
-7.479999999999987	1.0	0.0
-7.4199999999999875	1.0	0.0
-7.359999999999988	1.0	0.0
-7.299999999999988	1.0	0.0
-7.239999999999989	1.0	0.0
-7.179999999999989	1.0	0.0
-7.1199999999999894	1.0	0.0
-7.05999999999999	1.0	0.0
-6.99999999999999	1.0	0.0
-6.939999999999991	1.0	0.0
-6.879999999999991	1.0	0.0
-6.819999999999991	1.0	0.0
-6.759999999999992	1.0	0.0
-6.699999999999992	1.0	0.0
-6.639999999999993	1.0	0.0
-6.579999999999993	1.0	0.0
-6.519999999999993	1.0	0.0
-6.459999999999994	1.0	0.0
-6.399999999999994	1.0	0.0
-6.3399999999999945	1.0	0.0
-6.279999999999995	1.0	0.0
-6.219999999999995	1.0	0.0
-6.159999999999996	1.0	0.0
-6.099999999999996	1.0	0.0
-6.0399999999999965	1.0	0.0
-5.979999999999997	1.0	0.0
-5.919999999999997	1.0	0.0
-5.859999999999998	1.0	0.0
-5.799999999999998	1.0	0.0
-5.739999999999998	1.0	0.0
-5.679999999999999	1.0	0.0
-5.619999999999999	1.0	0.0
-5.56	1.0	0.0
-5.5	1.0	0.0
-5.44	1.0	0.0
-5.380000000000001	1.0	0.0
-5.320000000000001	1.0	0.0
-5.260000000000002	1.0	0.0
-5.200000000000002	1.0	0.0
-5.140000000000002	1.0	0.0
-5.080000000000003	1.0	0.0
-5.020000000000003	1.0	0.0
-4.9600000000000035	1.0	0.0
-4.900000000000004	1.0	0.0
-4.840000000000004	1.0	0.0
-4.780000000000005	1.0	0.0
-4.720000000000005	1.0	0.0
-4.6600000000000055	1.0	0.0
-4.600000000000006	1.0	0.0
-4.540000000000006	1.0	0.0
-4.480000000000007	1.0	-2.6159630017730248e-14
-4.420000000000007	1.0	-2.6159630017730248e-14
-4.360000000000007	1.0	-2.6159630017730248e-14
-4.300000000000008	1.0	-2.6159630017730248e-14
-4.240000000000008	1.0	-2.6159630017730248e-14
-4.180000000000009	1.0	-2.6159630017730248e-14
-4.120000000000009	1.0	-1.0987044607446705e-13
-4.060000000000009	1.0	-1.0987044607446705e-13
-4.00000000000001	1.0	-1.0987044607446705e-13
-3.9400000000000097	1.0	-1.5172585410283546e-13
-3.8800000000000097	1.0	-1.0987044607446705e-13
-3.8200000000000096	1.0	-6.801503804609865e-14
-3.7600000000000096	1.0	-2.6159630017730248e-14
-3.7000000000000095	1.0	1.569577801063815e-14
-3.6400000000000095	1.0	5.755118603900655e-14
-3.5800000000000094	1.0	9.940659406737495e-14
-3.5200000000000093	1.0	5.755118603900655e-14
-3.4600000000000093	1.0	9.940659406737495e-14
-3.4000000000000092	1.0	1.4126200209574336e-13
-3.340000000000009	1.0	1.8311741012411173e-13
-3.280000000000009	1.0	1.4126200209574336e-13
-3.220000000000009	1.0	2.2497281815248016e-13
-3.160000000000009	1.0	2.6682822618084856e-13
-3.100000000000009	1.0	3.0868363420921696e-13
-3.040000000000009	1.0	3.505390422375853e-13
-2.980000000000009	1.0	3.505390422375853e-13
-2.920000000000009	1.0	3.505390422375853e-13
-2.8600000000000088	1.0	3.505390422375853e-13
-2.8000000000000087	1.0	3.505390422375853e-13
-2.7400000000000087	1.0	3.505390422375853e-13
-2.6800000000000086	1.0	3.505390422375853e-13
-2.6200000000000085	1.0	3.505390422375853e-13
-2.5600000000000085	1.0	3.505390422375853e-13
-2.5000000000000084	1.0	3.505390422375853e-13
-2.4400000000000084	1.0	3.505390422375853e-13
-2.3800000000000083	1.0	3.505390422375853e-13
-2.3200000000000083	1.0	3.505390422375853e-13
-2.2600000000000082	1.0	3.505390422375853e-13
-2.200000000000008	1.0	3.505390422375853e-13
-2.140000000000008	1.0	3.505390422375853e-13
-2.080000000000008	1.0	3.505390422375853e-13
-2.020000000000008	1.0	3.505390422375853e-13
-1.960000000000008	1.0	3.505390422375853e-13
-1.900000000000008	1.0	3.505390422375853e-13
-1.8400000000000079	1.0	3.505390422375853e-13
-1.7800000000000078	1.0	3.505390422375853e-13
-1.7200000000000077	1.0	3.505390422375853e-13
-1.6600000000000077	1.0	3.505390422375853e-13
-1.6000000000000076	1.0	3.505390422375853e-13
-1.5400000000000076	1.0	3.505390422375853e-13
-1.4800000000000075	1.0	3.505390422375853e-13
-1.4200000000000075	1.0	3.505390422375853e-13
-1.3600000000000074	1.0	3.505390422375853e-13
-1.3000000000000074	1.0	3.505390422375853e-13
-1.2400000000000073	1.0	3.505390422375853e-13
-1.1800000000000073	1.0	3.505390422375853e-13
-1.1200000000000072	1.0	3.505390422375853e-13
-1.0600000000000072	1.0	3.505390422375853e-13
-1.000000000000007	1.0	3.505390422375853e-13
-0.940000000000007	1.0	3.505390422375853e-13
-0.880000000000007	1.0	3.505390422375853e-13
-0.820000000000007	1.0	3.505390422375853e-13
-0.7600000000000069	1.0	3.505390422375853e-13
-0.7000000000000068	1.0	3.505390422375853e-13
-0.6400000000000068	1.0	3.505390422375853e-13
-0.5800000000000067	1.0	3.505390422375853e-13
-0.5200000000000067	1.0	3.505390422375853e-13
-0.4600000000000067	1.0	3.0868363420921696e-13
-0.4000000000000067	1.0	2.6682822618084856e-13
-0.3400000000000067	1.0	2.2497281815248016e-13
-0.2800000000000067	1.0	1.4126200209574336e-13
-0.2200000000000067	1.0	9.940659406737495e-14
-0.1600000000000067	1.0	5.755118603900655e-14
-0.1000000000000067	1.0	1.569577801063815e-14
-0.0400000000000067	1.0	-2.6159630017730248e-14
0.0199999999999933	1.0094287337741288	7.649141445991566
0.0799999999999933	1.0102658064265115	7.390765805930233
0.1399999999999933	1.0104927022976682	7.345772132212906
0.1999999999999933	1.0107083741080427	7.3490146581034805
0.2599999999999933	1.010914298273054	7.351624116698251
0.3199999999999933	1.0111116302756182	7.353687862306178
0.3799999999999933	1.0113013605307042	7.35529450196549
0.4399999999999933	1.01148433963032	7.356523068411339
0.4999999999999933	1.0116612996055736	7.357443037810418
0.5599999999999933	1.011832871859385	7.358114699223925
0.6199999999999932	1.011999602297104	7.3585897448672855
0.6799999999999933	1.0121619640984463	7.358911987314925
0.7399999999999933	1.012320368503644	7.359118136359262
0.7999999999999934	1.012475173927443	7.359238588319087
0.8599999999999934	1.0126266936647437	7.35929819567046
0.9199999999999935	1.012775202409791	7.3593169960757745
0.9799999999999935	1.0129209417755907	7.35931088813301
1.0399999999999936	1.013064124970615	7.359292247123839
1.0999999999999936	1.0132049407649453	7.359270478288734
1.1599999999999937	1.0133435568570794	7.35925250810048
1.2199999999999938	1.013480122734997	7.359243215969036
1.2799999999999938	1.0136147721102882	7.359245810065451
1.3399999999999939	1.0137476249916795	7.359262151666066
1.399999999999994	1.0138787894538297	7.359293032761954
1.459999999999994	1.0140083631484442	7.359338411746463
1.519999999999994	1.0141364345973567	7.35939761189374
1.579999999999994	1.0142630843009817	7.35946948709164
1.6399999999999941	1.0143883856903027	7.359552559007189
1.6999999999999942	1.0145124059461403	7.359645129500668
1.7599999999999942	1.0146352067057318	7.359745371755439
1.8199999999999943	1.0147568446735322	7.3598514032240105
1.8799999999999943	1.0148773721505013	7.359961343141176
1.9399999999999944	1.0149968374939395	7.360073357033245
1.9999999999999944	1.01511528551806	7.360185690342019
2.0599999999999943	1.0152327578439135	7.360296693005465
2.1199999999999943	1.0153492932059587	7.3604048365845625
2.1799999999999944	1.0154649277214576	7.360508725307179
2.2399999999999944	1.0155796951279277	7.360607102187243
2.2999999999999945	1.0156936269930954	7.360698851214903
2.3599999999999945	1.0158067529011214	7.360782996448978
2.4199999999999946	1.0159191006183026	7.36085869871334
2.4799999999999947	1.0160306962409902	7.360925250485872
2.5399999999999947	1.016141564328036	7.3609820694567745
2.5999999999999948	1.016251728019768	7.361028691162299
2.659999999999995	1.0163612091451817	7.361064761013356
2.719999999999995	1.0164700283188082	7.361090025986513
2.779999999999995	1.016578205028504	7.36110432618346
2.839999999999995	1.0166857577152328	7.3611075864266216
2.899999999999995	1.016792703845767	7.361099808020554
2.959999999999995	1.016899059979102	7.36108106077586
3.019999999999995	1.0170048418272775	7.361051475368639
3.079999999999995	1.0171100643111974	7.3610112360846385
3.1399999999999952	1.0172147416119763	7.360960573985876
3.1999999999999953	1.0173188872182637	7.360899760519186
3.2599999999999953	1.0174225139699382	7.360829101573222
3.3199999999999954	1.0175256340985268	7.36074893198517
3.3799999999999955	1.017628259264653	7.360659610495694
3.4399999999999955	1.0177304005927807	7.360561515131816
3.4999999999999956	1.017832068703499	7.360455039009676
3.5599999999999956	1.0179332737435547	7.360340586533164
3.6199999999999957	1.0180340254138271	7.3602185699733065
3.6799999999999957	1.0181343329954093	7.3600894063984335
3.7399999999999958	1.018234205373951	7.359953514944477
3.799999999999996	1.0183336510623966	7.359811314388993
3.859999999999996	1.0184326782222466	7.359663221021749
3.919999999999996	1.0185312946834448	7.359509646774081
3.979999999999996	1.0186295079630006	7.359350997597967
4.039999999999996	1.0187273252824343	7.359187672071282
4.099999999999995	1.0188247535841293	7.359020060205268
4.159999999999995	1.0189217995466668	7.358848542439952
4.219999999999994	1.0190184695992162	7.358673488810772
4.279999999999994	1.0191147699350416	7.358495258267291
4.339999999999994	1.0192107065241873	7.358314198129834
4.399999999999993	1.0193062851253936	7.358130643670982
4.459999999999993	1.0194015112972947	7.357944917806892
4.5199999999999925	1.0194963904089478	7.35775733088851
4.579999999999992	1.0195909276497308	7.3575681805789115
4.639999999999992	1.0196851280386554	7.357377751808898
4.699999999999991	1.019778996433126	7.357186316799818
4.759999999999991	1.0198725375371862	7.356994135145084
4.8199999999999905	1.0199657559092783	7.356801453945707
4.87999999999999	1.0200586559695517	7.356608507985994
4.93999999999999	1.0201512420067447	7.356415519951817
4.999999999999989	1.0202435181846652	7.35622270067672
5.059999999999989	1.0203354885482983	7.356030249417315
5.119999999999989	1.020427157029561	7.3558383541497445
5.179999999999988	1.020518527452727	7.355647191886182
5.239999999999988	1.0206096035395387	7.355456929001464
5.299999999999987	1.0207003889140287	7.355267721574089
5.359999999999987	1.0207908871070661	7.355079715732255
5.419999999999987	1.0208811015606472	7.35489304800957
5.479999999999986	1.0209710356319384	7.354707845695206
5.539999999999986	1.0210606925970975	7.354524227195577
5.599999999999985	1.0211500756548755	7.354342302384355
5.659999999999985	1.0212391879300187	7.354162172957865
5.719999999999985	1.0213280324764817	7.35398393278282
5.779999999999984	1.0214166122804604	7.353807668238439
5.839999999999984	1.0215049302632595	7.35363345855624
5.8999999999999835	1.0215929892839968	7.353461376146339
5.959999999999983	1.0216807921421664	7.353291486924788
6.019999999999983	1.0217683415800554	7.353123850624158
6.079999999999982	1.0218556402850316	7.352958521101667
6.139999999999982	1.021942690891709	7.352795546636558
6.1999999999999815	1.0220294959839913	7.352634970215678
6.259999999999981	1.0221160580970117	7.352476829813954
6.319999999999981	1.0222023797189659	7.352321158662875
6.37999999999998	1.0222884632928462	7.352167985508605
6.43999999999998	1.0223743112180887	7.35201733486316
6.49999999999998	1.0224599258521296	7.351869227243913
6.559999999999979	1.022545309511882	7.3517236794044925
6.619999999999979	1.0226304644751358	7.351580704556208
6.679999999999978	1.022715392981886	7.351440312579464
6.739999999999978	1.0228000972355917	7.3513025102283205
6.799999999999978	1.0228845794043726	7.351167301323639
6.859999999999977	1.0229688416221425	7.3510346869393155
6.919999999999977	1.0230528859896901	7.35090466557974
6.9799999999999764	1.023136714575701	7.350777233347749
7.039999999999976	1.023220329417734	7.35065238410709
7.099999999999976	1.0233037325231449	7.350530109634374
7.159999999999975	1.0233869258699704	7.3504103997667665
7.219999999999975	1.0234699114077652	7.350293242539466
7.2799999999999745	1.0235526910584023	7.350178624317637
7.339999999999974	1.0236352667168327	7.350066529921646
7.399999999999974	1.0237176402518124	7.349956942745526
7.459999999999973	1.023799813506594	7.349849844869879
7.519999999999973	1.0238817882995865	7.349745217168115
7.5799999999999725	1.023963566424987	7.349643039407286
7.639999999999972	1.024045149653381	7.349543290341805
7.699999999999972	1.0241265397323196	7.349445947807024
7.759999999999971	1.0242077383868688	7.349350988800299
7.819999999999971	1.0242887473201374	7.349258389564279
7.879999999999971	1.0243695682137794	7.3491681256609835
7.93999999999997	1.0244502027284774	7.349080172042455
7.99999999999997	1.024530652504406	7.348994503119766
8.05999999999997	1.0246109191616755	7.348911092825653
8.11999999999997	1.0246910043007567	7.348829914671899
8.179999999999971	1.0247709095028907	7.348750941807471
8.239999999999972	1.024850636330482	7.348674147069944
8.299999999999972	1.0249301863274747	7.348599503033328
8.359999999999973	1.025009561019718	7.34852698205713
8.419999999999973	1.0250887619153137	7.348456556325229
8.479999999999974	1.025167790504954	7.348388197889549
8.539999999999974	1.025246648262246	7.348321878705326
8.599999999999975	1.025325336644024	7.348257570667771
8.659999999999975	1.0254038570906525	7.348195245644082
8.719999999999976	1.0254822110263169	7.348134875503253
8.779999999999976	1.0255603998593044	7.348076432144105
8.839999999999977	1.0256384249822799	7.348019887525155
8.899999999999977	1.0257162877725439	7.34796521368246
8.959999999999978	1.0257939895922918	7.347912382758253
9.019999999999978	1.0258715317888594	7.347861367018647
9.079999999999979	1.025948915694962	7.347812138873716
9.13999999999998	1.026026142628926	7.347764670894596
9.19999999999998	1.0261032138949153	7.347718935830925
9.25999999999998	1.0261801307831484	7.347674906624262
9.31999999999998	1.0262568945701114	7.347632556423398
9.379999999999981	1.0263335065187646	7.3475918585957185
9.439999999999982	1.0264099678787426	7.34755278673834
9.499999999999982	1.0264862798865493	7.347515314689742
9.559999999999983	1.026562443765749	7.347479416537938
9.619999999999983	1.0266384607271501	7.347445066628822
9.679999999999984	1.0267143319689864	7.347412239574123
9.739999999999984	1.0267900586770928	7.347380910258103
9.799999999999985	1.026865642025077	7.347351053843184
9.859999999999985	1.0269410831744867	7.3473226457754155
9.919999999999986	1.0270163832749726	7.347295661787956
9.979999999999986	1.0270915434644494	7.347270077906409
10.039999999999987	1.027166564869251	7.3472458704512595
10.099999999999987	1.0272414486042833	7.347223016040708
10.159999999999988	1.027316195773174	7.347201491592952
10.219999999999988	1.0273908074684173	7.347181274327428
10.279999999999989	1.027465284771519	7.347162341767181
10.33999999999999	1.0275396287531355	7.347144671738647
10.39999999999999	1.0276138404732105	7.347128242372513
10.45999999999999	1.0276879209811107	7.347113032103825
10.51999999999999	1.0277618713157566	7.347099019671915
10.579999999999991	1.0278356925057532	7.347086184119422
10.639999999999992	1.0279093855695158	7.347074504792163
10.699999999999992	1.0279829515153949	7.3470639613371596
