# t(seg)	 CIC (A)	 Reactivity($)
-9.94	1.0	0.0
-9.879999999999999	1.0	0.0
-9.819999999999999	1.0	0.0
-9.759999999999998	1.0	0.0
-9.699999999999998	1.0	0.0
-9.639999999999997	1.0	0.0
-9.579999999999997	1.0	0.0
-9.519999999999996	1.0	0.0
-9.459999999999996	1.0	0.0
-9.399999999999995	1.0	0.0
-9.339999999999995	1.0	0.0
-9.279999999999994	1.0	0.0
-9.219999999999994	1.0	0.0
-9.159999999999993	1.0	0.0
-9.099999999999993	1.0	0.0
-9.039999999999992	1.0	0.0
-8.979999999999992	1.0	0.0
-8.919999999999991	1.0	0.0
-8.85999999999999	1.0	0.0
-8.79999999999999	1.0	0.0
-8.73999999999999	1.0	0.0
-8.679999999999989	1.0	0.0
-8.619999999999989	1.0	0.0
-8.559999999999988	1.0	0.0
-8.499999999999988	1.0	0.0
-8.439999999999987	1.0	0.0
-8.379999999999987	1.0	0.0
-8.319999999999986	1.0	0.0
-8.259999999999986	1.0	0.0
-8.199999999999985	1.0	0.0
-8.139999999999985	1.0	0.0
-8.079999999999984	1.0	0.0
-8.019999999999984	1.0	0.0
-7.959999999999984	1.0	0.0
-7.899999999999984	1.0	0.0
-7.839999999999985	1.0	0.0
-7.779999999999985	1.0	0.0
-7.7199999999999855	1.0	0.0
-7.659999999999986	1.0	0.0
-7.599999999999986	1.0	0.0
-7.539999999999987	1.0	0.0
-7.479999999999987	1.0	0.0
-7.4199999999999875	1.0	0.0
-7.359999999999988	1.0	0.0
-7.299999999999988	1.0	0.0
-7.239999999999989	1.0	0.0
-7.179999999999989	1.0	0.0
-7.1199999999999894	1.0	0.0
-7.05999999999999	1.0	0.0
-6.99999999999999	1.0	0.0
-6.939999999999991	1.0	0.0
-6.879999999999991	1.0	0.0
-6.819999999999991	1.0	0.0
-6.759999999999992	1.0	0.0
-6.699999999999992	1.0	0.0
-6.639999999999993	1.0	0.0
-6.579999999999993	1.0	0.0
-6.519999999999993	1.0	0.0
-6.459999999999994	1.0	0.0
-6.399999999999994	1.0	0.0
-6.3399999999999945	1.0	0.0
-6.279999999999995	1.0	0.0
-6.219999999999995	1.0	0.0
-6.159999999999996	1.0	0.0
-6.099999999999996	1.0	0.0
-6.0399999999999965	1.0	0.0
-5.979999999999997	1.0	0.0
-5.919999999999997	1.0	0.0
-5.859999999999998	1.0	0.0
-5.799999999999998	1.0	0.0
-5.739999999999998	1.0	0.0
-5.679999999999999	1.0	0.0
-5.619999999999999	1.0	0.0
-5.56	1.0	0.0
-5.5	1.0	0.0
-5.44	1.0	0.0
-5.380000000000001	1.0	0.0
-5.320000000000001	1.0	0.0
-5.260000000000002	1.0	0.0
-5.200000000000002	1.0	0.0
-5.140000000000002	1.0	0.0
-5.080000000000003	1.0	0.0
-5.020000000000003	1.0	0.0
-4.9600000000000035	1.0	0.0
-4.900000000000004	1.0	0.0
-4.840000000000004	1.0	0.0
-4.780000000000005	1.0	0.0
-4.720000000000005	1.0	0.0
-4.6600000000000055	1.0	0.0
-4.600000000000006	1.0	0.0
-4.540000000000006	1.0	0.0
-4.480000000000007	1.0	0.0
-4.420000000000007	1.0	0.0
-4.360000000000007	1.0	0.0
-4.300000000000008	1.0	0.0
-4.240000000000008	1.0	0.0
-4.180000000000009	1.0	0.0
-4.120000000000009	1.0	0.0
-4.060000000000009	1.0	0.0
-4.00000000000001	1.0	0.0
-3.9400000000000097	1.0	0.0
-3.8800000000000097	1.0	0.0
-3.8200000000000096	1.0	0.0
-3.7600000000000096	1.0	0.0
-3.7000000000000095	1.0	0.0
-3.6400000000000095	1.0	0.0
-3.5800000000000094	1.0	0.0
-3.5200000000000093	1.0	0.0
-3.4600000000000093	1.0	0.0
-3.4000000000000092	1.0	0.0
-3.340000000000009	1.0	0.0
-3.280000000000009	1.0	0.0
-3.220000000000009	1.0	0.0
-3.160000000000009	1.0	0.0
-3.100000000000009	1.0	0.0
-3.040000000000009	1.0	0.0
-2.980000000000009	1.0	0.0
-2.920000000000009	1.0	0.0
-2.8600000000000088	1.0	0.0
-2.8000000000000087	1.0	0.0
-2.7400000000000087	1.0	0.0
-2.6800000000000086	1.0	0.0
-2.6200000000000085	1.0	0.0
-2.5600000000000085	1.0	0.0
-2.5000000000000084	1.0	0.0
-2.4400000000000084	1.0	0.0
-2.3800000000000083	1.0	0.0
-2.3200000000000083	1.0	0.0
-2.2600000000000082	1.0	0.0
-2.200000000000008	1.0	0.0
-2.140000000000008	1.0	0.0
-2.080000000000008	1.0	0.0
-2.020000000000008	1.0	0.0
-1.960000000000008	1.0	0.0
-1.900000000000008	1.0	0.0
-1.8400000000000079	1.0	0.0
-1.7800000000000078	1.0	0.0
-1.7200000000000077	1.0	0.0
-1.6600000000000077	1.0	0.0
-1.6000000000000076	1.0	0.0
-1.5400000000000076	1.0	0.0
-1.4800000000000075	1.0	0.0
-1.4200000000000075	1.0	0.0
-1.3600000000000074	1.0	0.0
-1.3000000000000074	1.0	0.0
-1.2400000000000073	1.0	0.0
-1.1800000000000073	1.0	0.0
-1.1200000000000072	1.0	0.0
-1.0600000000000072	1.0	0.0
-1.000000000000007	1.0	0.0
-0.940000000000007	1.0	0.0
-0.880000000000007	1.0	0.0
-0.820000000000007	1.0	0.0
-0.7600000000000069	1.0	0.0
-0.7000000000000068	1.0	0.0
-0.6400000000000068	1.0	0.0
-0.5800000000000067	1.0	0.0
-0.5200000000000067	1.0	0.0
-0.4600000000000067	1.0	0.0
-0.4000000000000067	1.0	0.0
-0.3400000000000067	1.0	0.0
-0.2800000000000067	1.0	0.0
-0.2200000000000067	1.0	0.0
-0.1600000000000067	1.0	0.0
-0.1000000000000067	1.0	0.0
-0.0400000000000067	1.0	0.0
0.0199999999999933	1.0094287337741288	0.0
0.0799999999999933	1.0102658064265115	0.0
0.1399999999999933	1.0104927022976682	0.0
0.1999999999999933	1.0107083741080427	0.0
0.2599999999999933	1.010914298273054	0.0
0.3199999999999933	1.0111116302756182	0.0
0.3799999999999933	1.0113013605307042	0.0
0.4399999999999933	1.01148433963032	0.0
0.4999999999999933	1.0116612996055736	0.0
0.5599999999999933	1.011832871859385	0.0
0.6199999999999932	1.011999602297104	0.0
0.6799999999999933	1.0121619640984463	0.0
0.7399999999999933	1.012320368503644	0.0
0.7999999999999934	1.012475173927443	0.0
0.8599999999999934	1.0126266936647437	0.0
0.9199999999999935	1.012775202409791	0.0
0.9799999999999935	1.0129209417755907	0.0
1.0399999999999936	1.013064124970615	0.0
1.0999999999999936	1.0132049407649453	0.0
1.1599999999999937	1.0133435568570794	0.0
1.2199999999999938	1.013480122734997	0.0
1.2799999999999938	1.0136147721102882	0.0
1.3399999999999939	1.0137476249916795	0.0
1.399999999999994	1.0138787894538297	0.0
1.459999999999994	1.0140083631484442	0.0
1.519999999999994	1.0141364345973567	0.0
1.579999999999994	1.0142630843009817	0.0
1.6399999999999941	1.0143883856903027	0.0
1.6999999999999942	1.0145124059461403	0.0
1.7599999999999942	1.0146352067057318	0.0
1.8199999999999943	1.0147568446735322	0.0
1.8799999999999943	1.0148773721505013	0.0
1.9399999999999944	1.0149968374939395	0.0
1.9999999999999944	1.01511528551806	0.0
2.0599999999999943	1.0152327578439135	0.0
2.1199999999999943	1.0153492932059587	0.0
2.1799999999999944	1.0154649277214576	0.0
2.2399999999999944	1.0155796951279277	0.0
2.2999999999999945	1.0156936269930954	0.0
2.3599999999999945	1.0158067529011214	0.0
2.4199999999999946	1.0159191006183026	0.0
2.4799999999999947	1.0160306962409902	0.0
2.5399999999999947	1.016141564328036	0.0
2.5999999999999948	1.016251728019768	0.0
2.659999999999995	1.0163612091451817	0.0
2.719999999999995	1.0164700283188082	0.0
2.779999999999995	1.016578205028504	0.0
2.839999999999995	1.0166857577152328	0.0
2.899999999999995	1.016792703845767	0.0
2.959999999999995	1.016899059979102	0.0
3.019999999999995	1.0170048418272775	0.0
3.079999999999995	1.0171100643111974	0.0
3.1399999999999952	1.0172147416119763	0.0
3.1999999999999953	1.0173188872182637	0.0
3.2599999999999953	1.0174225139699382	0.0
3.3199999999999954	1.0175256340985268	0.0
3.3799999999999955	1.017628259264653	0.0
3.4399999999999955	1.0177304005927807	0.0
3.4999999999999956	1.017832068703499	0.0
3.5599999999999956	1.0179332737435547	0.0
3.6199999999999957	1.0180340254138271	0.0
3.6799999999999957	1.0181343329954093	0.0
3.7399999999999958	1.018234205373951	0.0
3.799999999999996	1.0183336510623966	0.0
3.859999999999996	1.0184326782222466	0.0
3.919999999999996	1.0185312946834448	0.0
3.979999999999996	1.0186295079630006	0.0
4.039999999999996	1.0187273252824343	0.0
4.099999999999995	1.0188247535841293	0.0
4.159999999999995	1.0189217995466668	0.0
4.219999999999994	1.0190184695992162	0.0
4.279999999999994	1.0191147699350416	0.0
4.339999999999994	1.0192107065241873	0.0
4.399999999999993	1.0193062851253936	0.0
4.459999999999993	1.0194015112972947	0.0
4.5199999999999925	1.0194963904089478	0.0
4.579999999999992	1.0195909276497308	0.0
4.639999999999992	1.0196851280386554	0.0
4.699999999999991	1.019778996433126	0.0
4.759999999999991	1.0198725375371862	0.0
4.8199999999999905	1.0199657559092783	0.0
4.87999999999999	1.0200586559695517	0.0
4.93999999999999	1.0201512420067447	0.0
4.999999999999989	1.0202435181846652	0.0
5.059999999999989	1.0203354885482983	0.0
5.119999999999989	1.020427157029561	0.0
5.179999999999988	1.020518527452727	0.0
5.239999999999988	1.0206096035395387	0.0
5.299999999999987	1.0207003889140287	0.0
5.359999999999987	1.0207908871070661	0.0
5.419999999999987	1.0208811015606472	0.0
5.479999999999986	1.0209710356319384	0.0
5.539999999999986	1.0210606925970975	0.0
5.599999999999985	1.0211500756548755	0.0
5.659999999999985	1.0212391879300187	0.0
5.719999999999985	1.0213280324764817	0.0
5.779999999999984	1.0214166122804604	0.0
5.839999999999984	1.0215049302632595	0.0
5.8999999999999835	1.0215929892839968	0.0
5.959999999999983	1.0216807921421664	0.0
6.019999999999983	1.0217683415800554	0.0
6.079999999999982	1.0218556402850316	0.0
6.139999999999982	1.021942690891709	0.0
6.1999999999999815	1.0220294959839913	0.0
6.259999999999981	1.0221160580970117	0.0
6.319999999999981	1.0222023797189659	0.0
6.37999999999998	1.0222884632928462	0.0
6.43999999999998	1.0223743112180887	0.0
6.49999999999998	1.0224599258521296	0.0
6.559999999999979	1.022545309511882	0.0
6.619999999999979	1.0226304644751358	0.0
6.679999999999978	1.022715392981886	0.0
6.739999999999978	1.0228000972355917	0.0
6.799999999999978	1.0228845794043726	0.0
6.859999999999977	1.0229688416221425	0.0
